City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Red Bluff,US,2021-01-20 20:02:01,40.1785,-122.2358,62.6,22,1,8.05
252,Nanakuli,US,2021-01-20 20:02:02,21.3906,-158.1547,75.2,73,75,3.44
253,Faruka,PK,2021-01-20 20:02:02,31.8872,72.4144,54.93,39,0,4.14
254,Burnie,AU,2021-01-20 20:02:02,-41.0667,145.9167,57.0,80,70,7.0
255,Wilmington,US,2021-01-20 19:57:26,34.2257,-77.9447,62.6,31,1,13.8
256,Nicoya,CR,2021-01-20 20:02:02,10.1483,-85.452,84.2,65,40,16.11
257,Bundaberg,AU,2021-01-20 20:02:02,-24.85,152.35,75.99,78,31,5.75
258,Sembakung,ID,2021-01-20 20:02:02,3.8167,117.25,75.2,94,75,4.61
259,Booue,GA,2021-01-20 20:02:03,-0.0921,11.9385,75.83,83,58,2.06
260,Callaway,US,2021-01-20 20:02:03,30.153,-85.5699,69.01,56,1,9.22
261,Ridgecrest,US,2021-01-20 20:00:57,35.6225,-117.6709,60.01,19,75,3.44
262,Acapulco,MX,2021-01-20 20:02:03,16.8634,-99.8901,86.0,58,1,8.05
263,Ponta Do Sol,PT,2021-01-20 20:02:03,32.6667,-17.1,60.01,68,97,1.99
264,Pacific Grove,US,2021-01-20 19:59:35,36.6177,-121.9166,66.0,19,1,3.44
265,Teguise,ES,2021-01-20 20:02:03,29.0605,-13.564,64.4,68,20,5.75
266,Henties Bay,NA,2021-01-20 20:02:04,-22.116,14.2845,69.01,84,55,3.0
267,Touros,BR,2021-01-20 20:02:04,-5.1989,-35.4608,84.2,70,40,17.27
268,Tocopilla,CL,2021-01-20 20:02:04,-22.092,-70.1979,73.53,51,25,9.01
269,Port Moresby,PG,2021-01-20 20:02:04,-9.4431,147.1797,73.4,94,20,8.05
270,Santa Cruz Cabralia,BR,2021-01-20 20:02:04,-16.2781,-39.0247,82.4,61,40,10.36
271,Camabatela,AO,2021-01-20 20:02:04,-8.1881,15.375,63.37,97,26,1.52
272,Francistown,BW,2021-01-20 20:02:04,-21.17,27.5079,75.2,73,40,8.05
273,Svetlaya,RU,2021-01-20 20:02:05,46.5389,138.3297,12.54,85,7,5.26
274,Port Macquarie,AU,2021-01-20 20:02:05,-31.4333,152.9167,63.0,94,43,1.99
275,Esperance,AU,2021-01-20 20:02:05,-33.8667,121.9,64.4,94,90,8.05
276,Morondava,MG,2021-01-20 20:02:05,-20.2833,44.2833,84.09,75,100,5.44
277,Port Hardy,CA,2021-01-20 20:00:05,50.6996,-127.4199,39.2,93,90,3.44
278,Hobyo,SO,2021-01-20 20:02:05,5.3505,48.5268,78.21,81,100,21.79
279,Parrita,CR,2021-01-20 20:02:05,9.5201,-84.3225,82.4,57,20,21.85
280,Porbandar,IN,2021-01-20 20:02:05,21.6422,69.6093,64.76,52,0,7.18
281,Rayagada,IN,2021-01-20 20:02:06,19.1667,83.4167,66.49,67,0,1.45
282,Leningradskiy,RU,2021-01-20 20:02:06,69.3833,178.4167,-25.73,79,34,2.84
283,Benghazi,LY,2021-01-20 20:02:06,32.1167,20.0667,55.47,55,98,5.64
284,Koumac,NC,2021-01-20 20:02:06,-20.5667,164.2833,77.13,82,98,14.05
285,Grand Gaube,MU,2021-01-20 20:02:06,-20.0064,57.6608,81.0,82,23,1.99
286,Sai Buri,TH,2021-01-20 20:02:06,6.7013,101.6168,74.5,79,100,1.79
287,Porto Santo,PT,2021-01-20 20:02:06,33.072,-16.3415,62.6,82,40,10.36
288,Guozhen,CN,2021-01-20 20:02:06,34.3659,107.359,40.75,65,90,1.34
289,Iqaluit,CA,2021-01-20 20:02:06,63.7506,-68.5145,5.0,72,75,20.71
290,Longyearbyen,SJ,2021-01-20 20:00:36,78.2186,15.6401,15.8,62,20,21.85
291,Shakawe,BW,2021-01-20 20:02:07,-18.3667,21.85,70.65,91,100,2.37
292,Udachnyy,RU,2021-01-20 20:02:07,66.4167,112.4,-57.41,51,56,2.71
293,Catamarca,AR,2021-01-20 20:00:44,-28.4696,-65.7852,80.01,33,6,1.99
