City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Ormara,PK,64.11,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
305,Praia Da Vitoria,PT,66.2,scattered clouds,38.7333,-27.0667,Hotel Branco I
306,Chicama,PE,73.4,few clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
307,El Jicaro,GT,84.2,broken clouds,14.9167,-89.9,Parque Central y Palacio Municipal San Cristóbal Acasaguastlán
310,Cascais,PT,60.01,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
312,Lere,NG,73.81,overcast clouds,10.387,8.5726,
313,Nelson Bay,AU,70.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
319,Rio Grande,BR,84.0,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
321,Bull Savanna,JM,80.31,clear sky,17.8868,-77.5902,Big Red's
322,Kalmunai,LK,75.65,clear sky,7.4167,81.8167,VS Villa
323,Dubbo,AU,68.0,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
326,Mount Gambier,AU,60.8,heavy intensity rain,-37.8333,140.7667,Commodore on the Park
328,Constitucion,CL,68.38,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
330,Paka,MY,73.4,overcast clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
