City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Alice Springs,AU,-23.7,133.8833,87.8,42,90,14.97,overcast clouds
267,Rypefjord,NO,70.6333,23.6667,15.8,73,100,19.57,light snow
268,Sobolevo,RU,54.4299,31.8996,32.83,97,99,9.78,overcast clouds
269,Timra,SE,62.487,17.3257,30.2,100,20,2.3,fog
270,Roma,US,43.2128,-75.4557,18.0,62,1,17.27,clear sky
271,Asyut,EG,27.181,31.1837,57.2,58,0,12.66,clear sky
272,Viru,PE,-8.4167,-78.75,73.4,78,20,8.05,few clouds
273,Pangnirtung,CA,66.1451,-65.7125,14.0,79,1,3.4,clear sky
274,Iqaluit,CA,63.7506,-68.5145,15.01,92,20,16.11,few clouds
275,Okara,PK,30.8081,73.4458,50.27,48,0,7.0,clear sky
276,Sao Filipe,CV,14.8961,-24.4956,76.8,60,88,12.64,overcast clouds
277,Kasongo-Lunda,CD,-6.4667,16.8167,72.66,86,100,1.21,overcast clouds
278,Ginda,IN,30.6945,78.4932,41.16,62,1,4.68,clear sky
279,Juazeiro,BR,-9.4117,-40.4986,78.8,65,75,9.22,moderate rain
280,Punta Gorda,US,26.9298,-82.0454,77.0,69,40,9.22,scattered clouds
281,Piacabucu,BR,-10.4056,-36.4344,82.44,64,70,12.46,light rain
282,Tezu,IN,27.9167,96.1667,62.96,46,64,2.39,broken clouds
283,Isla Mujeres,MX,21.2311,-86.731,84.2,58,40,11.5,scattered clouds
284,Taoudenni,ML,22.6783,-3.9836,73.31,16,0,9.93,clear sky
285,Sertania,BR,-8.0736,-37.2644,90.9,32,88,9.48,light rain
286,Suez,EG,29.9737,32.5263,55.6,36,0,7.63,clear sky
287,Sinnar,SD,13.5691,33.5672,82.17,23,12,10.54,few clouds
288,College,US,64.8569,-147.8028,21.0,85,40,3.49,scattered clouds
289,Tiznit,MA,29.5833,-9.5,61.84,68,36,4.32,scattered clouds
290,Muncar,ID,-8.4333,114.3333,77.68,79,100,1.03,overcast clouds
291,Fougamou,GA,-1.2154,10.5838,76.19,91,96,2.64,light rain
292,Svetlogorsk,BY,52.6333,29.7333,32.31,97,33,8.5,scattered clouds
293,Chebsara,RU,59.2002,38.8356,32.0,93,90,6.71,overcast clouds
294,Mahebourg,MU,-20.4081,57.7,80.6,78,40,3.44,scattered clouds
295,Mehamn,NO,71.0357,27.8492,21.34,93,100,27.69,overcast clouds
296,Vostok,RU,46.4856,135.8833,2.62,88,48,5.1,scattered clouds
297,Uvira,CD,-3.4067,29.1458,75.65,67,92,3.29,light rain
298,Baghdad,IQ,33.3406,44.4009,46.4,39,0,3.44,clear sky
299,Zhicheng,CN,30.2956,111.5047,44.01,86,19,0.31,few clouds
300,Mackay,AU,-21.15,149.2,77.0,73,40,12.66,scattered clouds
301,Axim,GH,4.8699,-2.2405,80.69,77,58,9.6,broken clouds
302,Ormara,PK,25.2088,64.6357,64.11,28,0,24.32,clear sky
303,Jiaxing,CN,30.7522,120.75,44.6,87,75,11.18,mist
304,Lamar,US,33.6668,-95.5836,48.99,66,90,8.05,overcast clouds
305,Praia Da Vitoria,PT,38.7333,-27.0667,66.2,82,40,18.59,scattered clouds
306,Chicama,PE,-7.8447,-79.1469,73.4,78,20,8.05,few clouds
307,El Jicaro,GT,14.9167,-89.9,84.2,58,75,2.55,broken clouds
